Año;Mes;Moneda;Subtítulo;Nombre_Subtítulo;Ejecución_de_FEBRERO;Ejecución_a_FEBRERO
2023;Febrero;DOLARES;1;IMPUESTOS;15844;39642
2023;Febrero;DOLARES;6;RENTAS DE LA PROPIEDAD;27215;62850
2023;Febrero;DOLARES;7;INGRESOS DE OPERACIÓN;230;477
2023;Febrero;DOLARES;8;OTROS INGRESOS CORRIENTES;238527;239760
2023;Febrero;DOLARES;11;VENTA DE ACTIVOS FINANCIEROS;-388279;925253
2023;Febrero;DOLARES;12;RECUPERACIÓN DE PRÉSTAMOS;78;585
2023;Febrero;DOLARES;21;GASTOS EN PERSONAL;8703;17232
2023;Febrero;DOLARES;22;BIENES Y SERVICIOS DE CONSUMO;20441;25054
2023;Febrero;DOLARES;23;PRESTACIONES DE SEGURIDAD SOCIAL;7;7
2023;Febrero;DOLARES;24;TRANSFERENCIAS CORRIENTES;699;33176
2023;Febrero;DOLARES;25;INTEGROS AL FISCO;0;116
2023;Febrero;DOLARES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;33;694
2023;Febrero;DOLARES;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;-188426;785800
2023;Febrero;DOLARES;31;INICIATIVAS DE INVERSIÓN;0;4
2023;Febrero;DOLARES;32;PRÉSTAMOS;35;359
2023;Febrero;DOLARES;34;SERVICIO DE LA DEUDA;36240;379109
2023;Febrero;PESOS;1;IMPUESTOS;4096501621;9534921798
2023;Febrero;PESOS;4;IMPOSICIONES PREVISIONALES;318948856;566922220
2023;Febrero;PESOS;5;TRANSFERENCIAS CORRIENTES;3637932;6310790
2023;Febrero;PESOS;6;RENTAS DE LA PROPIEDAD;26173541;1039601756
2023;Febrero;PESOS;7;INGRESOS DE OPERACIÓN;123453207;223880388
2023;Febrero;PESOS;8;OTROS INGRESOS CORRIENTES;303687056;558446654
2023;Febrero;PESOS;9;APORTE FISCAL;489240;489240
2023;Febrero;PESOS;10;VENTA DE ACTIVOS NO FINANCIEROS;3154117;3402595
2023;Febrero;PESOS;11;VENTA DE ACTIVOS FINANCIEROS;1349425712;1861934948
2023;Febrero;PESOS;12;RECUPERACIÓN DE PRÉSTAMOS;243365358;1088434258
2023;Febrero;PESOS;13;TRANSFERENCIAS PARA GASTOS DE CAPITAL;8536766;16164561
2023;Febrero;PESOS;14;ENDEUDAMIENTO;3442520900;3442520900
2023;Febrero;PESOS;21;GASTOS EN PERSONAL;1008082775;2095259467
2023;Febrero;PESOS;22;BIENES Y SERVICIOS DE CONSUMO;355559721;666083207
2023;Febrero;PESOS;23;PRESTACIONES DE SEGURIDAD SOCIAL;1119401177;2143056664
2023;Febrero;PESOS;24;TRANSFERENCIAS CORRIENTES;1853815070;3672236118
2023;Febrero;PESOS;25;INTEGROS AL FISCO;35168020;79620638
2023;Febrero;PESOS;26;OTROS GASTOS CORRIENTES;8037272;32781117
2023;Febrero;PESOS;27;APORTE FISCAL LIBRE;974050;22172356
2023;Febrero;PESOS;28;APORTE FISCAL PARA SERVICIO DE LA DEUDA;0;138641
2023;Febrero;PESOS;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;3180188;13422080
2023;Febrero;PESOS;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;4898793746;5741252185
2023;Febrero;PESOS;31;INICIATIVAS DE INVERSIÓN;88132496;88474644
2023;Febrero;PESOS;32;PRÉSTAMOS;91381738;152643300
2023;Febrero;PESOS;33;TRANSFERENCIAS DE CAPITAL;282609345;532807908
2023;Febrero;PESOS;34;SERVICIO DE LA DEUDA;816469672;2646331382
